timestamp	file	chunk	lines	exit_code	errors	warnings	duration_s	note
2026-04-22T13:17:30Z	lib/perm_uniform.v			0	0	0	1	
2026-04-22T13:17:31Z	protocol/pgg_session_types.v			0	0	0	0	
2026-04-22T13:17:31Z	protocol/card_exchange_pismc.v			0	0	20	0	fragile-no-tier-k
2026-04-22T13:17:31Z	protocol/pgg_interface.v			0	0	6	0	
2026-04-22T13:17:31Z	groups/pgg_raag_path.v			0	0	1	1	
2026-04-22T13:17:32Z	groups/free_group_ball.v			0	0	1	0	
2026-04-22T13:17:32Z	groups/pgg_weval_inj.v			0	0	4	0	
2026-04-22T13:17:32Z	groups/pgg_raag.v			0	0	17	0	
2026-04-22T13:17:32Z	groups/pgg_raag_clique.v	0	141-301	0	0	0	1	
2026-04-22T13:17:33Z	groups/pgg_raag_clique.v	1	302-516	0	0	1	0	
2026-04-22T13:17:33Z	groups/pgg_raag_clique.v	2	517-901	0	0	6	0	
2026-04-22T13:17:33Z	groups/pgg_raag_clique.v	3	902-1336	0	0	8	1	
2026-04-22T13:17:34Z	groups/pgg_raag_clique.v	4	1337-1355	0	0	0	0	
2026-04-22T13:17:34Z	security/pgg_security_demo.v			0	0	0	0	
2026-04-22T13:17:34Z	security/pgg_weighted_entropy.v			0	0	1	0	
2026-04-22T13:17:34Z	security/pgg_abelian_collapse.v			0	0	2	1	
2026-04-22T13:17:35Z	security/pgg_security_solver.v			0	0	3	0	
2026-04-22T13:17:35Z	security/pgg_weighted_words.v			0	0	3	0	
2026-04-22T13:17:35Z	security/pgg_uniform_security.v			0	0	0	1	
2026-04-22T13:17:36Z	security/pgg_schreier.v			0	0	4	0	
2026-04-22T13:17:36Z	security/pgg_entropy_security_demo.v			0	0	6	0	fragile-no-tier-k
2026-04-22T13:17:36Z	security/pgg_entropy_security.v			0	0	3	0	
2026-04-22T13:17:36Z	security/pgg_security.v			0	0	0	1	
2026-04-22T13:17:37Z	security/pgg_schreier_weighted.v			0	0	7	0	
2026-04-22T13:17:37Z	security/pgg_word_analysis.v			0	0	9	0	
2026-04-22T13:17:37Z	security/pgg_mixing.v			0	0	4	0	
2026-04-22T13:17:37Z	security/pgg_collusion_bound.v			0	0	10	1	
